Label,Alabama_Count ,Alabama_Male ,Alabama_Female ,Alaska_Count ,Alaska_Male ,Alaska_Female ,Arizona_Count ,Arizona_Male ,Arizona_Female ,Arkansas_Count ,Arkansas_Male ,Arkansas_Female ,California_Count ,California_Male ,California_Female ,Colorado_Count ,Colorado_Male ,Colorado_Female ,Connecticut_Count ,Connecticut_Male ,Connecticut_Female ,Delaware_Count ,Delaware_Male ,Delaware_Female ,District of Columbia_Count ,District of Columbia_Male ,District of Columbia_Female ,Florida_Count ,Florida_Male ,Florida_Female ,Georgia_Count ,Georgia_Male ,Georgia_Female ,Hawaii_Count ,Hawaii_Male ,Hawaii_Female ,Idaho_Count ,Idaho_Male ,Idaho_Female ,Illinois_Count ,Illinois_Male ,Illinois_Female ,Indiana_Count ,Indiana_Male ,Indiana_Female ,Iowa_Count ,Iowa_Male ,Iowa_Female ,Kansas_Count ,Kansas_Male ,Kansas_Female ,Kentucky_Count ,Kentucky_Male ,Kentucky_Female ,Louisiana_Count ,Louisiana_Male ,Louisiana_Female ,Maine_Count ,Maine_Male ,Maine_Female ,Maryland_Count ,Maryland_Male ,Maryland_Female ,Massachusetts_Count ,Massachusetts_Male ,Massachusetts_Female ,Michigan_Count ,Michigan_Male ,Michigan_Female ,Minnesota_Count ,Minnesota_Male ,Minnesota_Female ,Mississippi_Count ,Mississippi_Male ,Mississippi_Female ,Missouri_Count ,Missouri_Male ,Missouri_Female ,Montana_Count ,Montana_Male ,Montana_Female ,Nebraska_Count ,Nebraska_Male ,Nebraska_Female ,Nevada_Count ,Nevada_Male ,Nevada_Female ,New Hampshire_Count ,New Hampshire_Male ,New Hampshire_Female ,New Jersey_Count ,New Jersey_Male ,New Jersey_Female ,New Mexico_Count ,New Mexico_Male ,New Mexico_Female ,New York_Count ,New York_Male ,New York_Female ,North Carolina_Count ,North Carolina_Male ,North Carolina_Female ,North Dakota_Count ,North Dakota_Male ,North Dakota_Female ,Ohio_Count ,Ohio_Male ,Ohio_Female ,Oklahoma_Count ,Oklahoma_Male ,Oklahoma_Female ,Oregon_Count ,Oregon_Male ,Oregon_Female ,Pennsylvania_Count ,Pennsylvania_Male ,Pennsylvania_Female ,Rhode Island_Count ,Rhode Island_Male ,Rhode Island_Female ,South Carolina_Count ,South Carolina_Male ,South Carolina_Female ,South Dakota_Count ,South Dakota_Male ,South Dakota_Female ,Tennessee_Count ,Tennessee_Male ,Tennessee_Female ,Texas_Count ,Texas_Male ,Texas_Female ,Utah_Count ,Utah_Male ,Utah_Female ,Vermont_Count ,Vermont_Male ,Vermont_Female ,Virginia_Count ,Virginia_Male ,Virginia_Female ,Washington_Count ,Washington_Male ,Washington_Female ,West Virginia_Count ,West Virginia_Male ,West Virginia_Female ,Wisconsin_Count ,Wisconsin_Male ,Wisconsin_Female ,Wyoming_Count ,Wyoming_Male ,Wyoming_Female ,Puerto Rico_Count ,Puerto Rico_Male ,Puerto Rico_Female ,United States_Count ,United States_Male ,United States_Female 
        Bachelor's degree or higher,"197,953","103,496","94,457","27,861","14,794","13,067","405,406","215,305","190,101","107,327","53,162","54,165","1,883,186","964,896","918,290","331,298","176,373","154,925","215,381","111,069","104,312","56,389","30,185","26,204","39,846","18,632","21,214","1,314,017","713,337","600,680","408,083","209,052","199,031","85,559","43,124","42,435","80,885","44,243","36,642","562,900","285,776","277,124","235,394","120,476","114,918","130,485","65,081","65,404","143,932","73,630","70,302","156,737","81,070","75,667","168,430","81,741","86,689","91,402","46,665","44,737","342,229","172,755","169,474","415,121","204,268","210,853","450,271","233,889","216,382","274,476","142,540","131,936","104,972","50,984","53,988","254,218","131,850","122,368","62,865","33,782","29,083","79,215","41,046","38,169","135,789","73,802","61,987","87,824","45,551","42,273","475,538","245,677","229,861","119,489","59,526","59,963","989,246","482,844","506,402","475,408","237,391","238,017","28,588","14,426","14,162","482,678","248,571","234,107","157,441","83,095","74,346","249,756","129,134","120,622","601,555","312,795","288,760","54,930","27,292","27,638","263,191","137,036","126,155","38,123","19,739","18,384","262,766","135,933","126,833","1,023,220","552,402","470,818","117,339","68,556","48,783","44,987","20,779","24,208","450,394","233,701","216,693","415,801","218,488","197,313","63,873","34,229","29,644","257,750","133,401","124,349","30,839","16,482","14,357","120,371","49,752","70,619","15,452,363","7,994,071","7,458,292"
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    White alone,"2,363,674","1,134,857","1,228,817","336,103","177,274","158,829","4,002,380","1,959,485","2,042,895","1,625,302","785,367","839,935","16,461,029","8,135,751","8,325,278","3,406,342","1,696,765","1,709,577","1,939,577","929,876","1,009,701","490,907","235,060","255,847","230,095","116,370","113,725","12,023,439","5,818,289","6,205,150","4,279,288","2,077,577","2,201,711","259,996","138,558","121,438","1,066,998","526,537","540,461","6,414,127","3,128,125","3,286,002","3,843,248","1,860,023","1,983,225","1,950,864","952,287","998,577","1,653,103","805,145","847,958","2,705,849","1,303,975","1,401,874","2,036,883","986,870","1,050,013","944,133","453,387","490,746","2,385,477","1,153,802","1,231,675","3,865,466","1,842,096","2,023,370","5,564,561","2,717,676","2,846,885","3,298,386","1,622,512","1,675,874","1,217,710","586,598","631,112","3,537,955","1,712,254","1,825,701","672,576","333,388","339,188","1,130,659","552,916","577,743","1,444,872","730,552","714,320","919,746","448,998","470,748","4,294,038","2,069,760","2,224,278","1,081,586","526,658","554,928","8,910,770","4,303,014","4,607,756","5,103,713","2,447,336","2,656,377","446,532","225,895","220,637","6,706,983","3,238,942","3,468,041","1,999,360","970,833","1,028,527","2,568,427","1,252,969","1,315,458","7,439,802","3,594,086","3,845,716","613,613","291,497","322,116","2,483,427","1,190,530","1,292,897","516,050","256,446","259,604","3,744,336","1,803,677","1,940,659","13,971,984","6,854,003","7,117,981","1,694,118","837,240","856,878","422,653","205,623","217,030","4,069,698","1,984,120","2,085,578","4,090,653","2,022,488","2,068,165","1,204,645","583,587","621,058","3,539,280","1,741,056","1,798,224","361,618","181,092","180,526","1,500,728","683,729","816,999","167,334,031","81,503,222","85,830,809"
        High school graduate or higher,"2,091,107","992,852","1,098,255","322,480","169,064","153,416","3,553,471","1,727,958","1,825,513","1,439,171","687,954","751,217","14,222,410","7,005,105","7,217,305","3,181,041","1,578,697","1,602,344","1,800,982","857,954","943,028","445,821","209,770","236,051","225,924","114,422","111,502","10,796,441","5,178,636","5,617,805","3,824,751","1,831,367","1,993,384","251,976","134,488","117,488","990,195","485,258","504,937","5,892,532","2,857,185","3,035,347","3,481,823","1,673,421","1,808,402","1,826,229","885,367","940,862","1,540,649","745,206","795,443","2,364,855","1,122,161","1,242,694","1,796,567","857,076","939,491","882,765","419,753","463,012","2,215,085","1,060,692","1,154,393","3,612,099","1,714,032","1,898,067","5,135,124","2,492,953","2,642,171","3,152,302","1,540,285","1,612,017","1,075,570","508,698","566,872","3,231,584","1,553,260","1,678,324","637,665","313,799","323,866","1,057,326","512,635","544,691","1,287,813","652,119","635,694","860,623","413,607","447,016","3,949,218","1,894,372","2,054,846","945,861","459,365","486,496","8,174,629","3,927,391","4,247,238","4,630,087","2,186,078","2,444,009","420,846","211,184","209,662","6,154,845","2,954,143","3,200,702","1,789,870","864,662","925,208","2,377,721","1,147,805","1,229,916","6,879,084","3,306,080","3,573,004","557,235","263,205","294,030","2,256,431","1,067,268","1,189,163","484,790","238,476","246,314","3,320,852","1,580,256","1,740,596","11,849,176","5,781,260","6,067,916","1,600,594","789,094","811,500","396,497","190,281","206,216","3,738,080","1,809,626","1,928,454","3,834,778","1,880,470","1,954,308","1,047,214","503,283","543,931","3,326,858","1,620,174","1,706,684","342,990","171,341","171,649","1,206,140","539,054","667,086","151,274,037","73,141,588","78,132,449"
        Bachelor's degree or higher,"674,566","323,142","351,424","120,058","56,922","63,136","1,246,529","608,764","637,765","395,246","182,226","213,020","5,856,506","2,888,960","2,967,546","1,509,967","738,886","771,081","826,768","390,079","436,689","170,098","78,721","91,377","205,529","104,463","101,066","3,909,036","1,905,167","2,003,869","1,517,367","725,243","792,124","115,756","59,707","56,049","311,086","152,977","158,109","2,389,865","1,143,837","1,246,028","1,050,610","495,162","555,448","576,133","264,273","311,860","583,809","271,381","312,428","681,115","309,921","371,194","577,730","264,068","313,662","312,337","138,231","174,106","1,085,525","519,199","566,326","1,797,419","839,888","957,531","1,718,035","824,310","893,725","1,269,097","594,016","675,081","314,215","143,087","171,128","1,098,411","514,155","584,256","230,862","112,075","118,787","387,792","180,111","207,681","388,130","194,572","193,558","340,736","157,423","183,313","1,804,380","870,563","933,817","332,106","153,653","178,453","3,773,080","1,783,391","1,989,689","1,790,921","838,103","952,818","141,338","63,335","78,003","2,028,724","957,853","1,070,871","555,706","262,333","293,373","890,007","422,760","467,247","2,487,823","1,179,687","1,308,136","225,236","104,039","121,197","843,737","400,350","443,387","162,367","77,239","85,128","1,113,589","521,331","592,258","4,300,488","2,096,380","2,204,108","605,933","320,871","285,062","164,139","72,631","91,508","1,709,421","823,960","885,461","1,519,113","749,399","769,714","251,912","114,306","137,606","1,145,976","530,202","615,774","107,910","50,864","57,046","440,267","168,611","271,656","57,614,239","27,574,216","30,040,023"
"    White alone, not Hispanic or Latino","2,299,781","1,102,770","1,197,011","316,918","167,712","149,206","3,010,564","1,469,294","1,541,270","1,550,578","747,665","802,913","11,075,547","5,489,591","5,585,956","2,877,914","1,430,953","1,446,961","1,748,083","837,261","910,822","457,913","217,904","240,009","204,162","102,907","101,255","8,887,273","4,299,505","4,587,768","3,947,682","1,907,240","2,040,442","237,027","126,211","110,816","998,524","491,620","506,904","5,640,997","2,730,255","2,910,742","3,692,360","1,784,880","1,907,480","1,877,984","913,727","964,257","1,530,789","743,721","787,068","2,648,824","1,273,038","1,375,786","1,938,051","935,800","1,002,251","935,086","449,287","485,799","2,223,960","1,071,380","1,152,580","3,601,315","1,716,713","1,884,602","5,377,567","2,622,964","2,754,603","3,208,417","1,575,947","1,632,470","1,190,544","572,633","617,911","3,449,298","1,667,808","1,781,490","658,762","327,793","330,969","1,055,888","515,052","540,836","1,148,711","584,023","564,688","897,818","438,016","459,802","3,577,879","1,715,597","1,862,282","606,478","296,228","310,250","7,894,691","3,809,484","4,085,207","4,805,279","2,298,691","2,506,588","438,065","221,728","216,337","6,552,807","3,162,701","3,390,106","1,851,190","893,763","957,427","2,376,419","1,155,981","1,220,438","7,155,025","3,453,609","3,701,416","565,077","267,870","297,207","2,396,696","1,146,233","1,250,463","505,241","251,189","254,052","3,613,025","1,735,997","1,877,028","8,669,915","4,236,967","4,432,948","1,540,298","763,032","777,266","418,747","203,876","214,871","3,782,506","1,839,638","1,942,868","3,821,704","1,886,699","1,935,005","1,194,674","579,681","614,993","3,408,152","1,675,250","1,732,902","340,863","171,517","169,346","29,463","15,720","13,743","144,203,068","70,079,401","74,123,667"
        High school graduate or higher,"2,048,642","972,393","1,076,249","305,927","161,257","144,670","2,848,764","1,382,320","1,466,444","1,393,472","665,388","728,084","10,557,467","5,221,303","5,336,164","2,784,448","1,381,447","1,403,001","1,654,393","789,065","865,328","425,644","199,724","225,920","203,173","102,724","100,449","8,276,671","3,973,634","4,303,037","3,599,497","1,720,703","1,878,794","230,743","122,470","108,273","940,160","460,956","479,204","5,335,849","2,573,115","2,762,734","3,369,378","1,618,694","1,750,684","1,776,895","859,280","917,615","1,455,133","703,844","751,289","2,322,767","1,099,672","1,223,095","1,722,650","820,278","902,372","874,526","416,108","458,418","2,093,186","1,001,301","1,091,885","3,413,667","1,620,252","1,793,415","4,989,640","2,421,129","2,568,511","3,081,399","1,503,865","1,577,534","1,055,423","498,881","556,542","3,160,430","1,517,992","1,642,438","625,634","308,904","316,730","1,010,407","490,391","520,016","1,082,331","548,153","534,178","843,448","405,523","437,925","3,393,134","1,624,371","1,768,763","572,313","277,302","295,011","7,399,414","3,552,969","3,846,445","4,430,971","2,092,934","2,338,037","413,888","207,819","206,069","6,034,549","2,897,270","3,137,279","1,695,379","817,275","878,104","2,242,942","1,081,386","1,161,556","6,654,480","3,198,633","3,455,847","521,778","246,714","275,064","2,193,273","1,037,854","1,155,419","475,999","234,135","241,864","3,235,574","1,538,864","1,696,710","8,185,175","3,992,786","4,192,389","1,479,904","731,148","748,756","392,894","188,658","204,236","3,519,512","1,699,913","1,819,599","3,637,750","1,784,628","1,853,122","1,038,266","499,835","538,431","3,231,055","1,573,635","1,657,420","326,323","164,044","162,279","25,903","13,294","12,609","134,556,337","65,002,939","69,553,398"
        Bachelor's degree or higher,"661,755","316,415","345,340","116,253","55,359","60,894","1,103,023","542,889","560,134","386,668","178,275","208,393","5,011,778","2,512,300","2,499,478","1,410,277","692,493","717,784","784,887","371,361","413,526","165,137","77,310","87,827","188,000","95,244","92,756","3,067,971","1,525,400","1,542,571","1,441,220","690,067","751,153","109,651","55,783","53,868","300,950","148,008","152,942","2,252,003","1,079,449","1,172,554","1,021,750","480,728","541,022","566,289","258,988","307,301","565,262","264,147","301,115","668,275","303,711","364,564","559,317","255,207","304,110","308,844","136,880","171,964","1,035,086","495,823","539,263","1,736,002","812,516","923,486","1,674,552","804,412","870,140","1,244,786","581,420","663,366","310,244","140,868","169,376","1,074,478","503,598","570,880","227,443","110,174","117,269","377,210","175,493","201,717","353,173","177,943","175,230","335,269","154,792","180,477","1,638,808","797,242","841,566","249,783","117,500","132,283","3,513,139","1,664,687","1,848,452","1,731,353","812,292","919,061","139,080","62,347","76,733","1,994,104","942,915","1,051,189","536,614","252,357","284,257","857,953","408,658","449,295","2,427,844","1,153,411","1,274,433","217,399","100,370","117,029","825,092","392,091","433,001","159,793","75,728","84,065","1,088,519","510,168","578,351","3,418,965","1,694,584","1,724,381","579,792","308,479","271,313","162,722","71,945","90,777","1,624,910","784,449","840,461","1,460,092","720,889","739,203","249,513","113,296","136,217","1,123,870","520,224","603,646","105,019","49,871","55,148","10,777","4,957","5,820","53,161,917","25,550,556","27,611,361"
    Black alone,"855,485","384,945","470,540","15,832","9,605","6,227","214,990","109,186","105,804","292,048","131,695","160,353","1,573,950","773,034","800,916","155,881","85,124","70,757","257,234","119,863","137,371","145,150","65,526","79,624","220,748","96,165","124,583","2,216,463","1,034,395","1,182,068","2,186,956","972,361","1,214,595","18,397","11,384","7,013","5,607","4,297","1,310","1,177,578","527,826","649,752","395,797","183,357","212,440","72,382","39,570","32,812","101,769","50,226","51,543","232,582","113,723","118,859","948,531","429,227","519,304","11,899","6,091","5,808","1,241,353","558,033","683,320","350,938","169,208","181,730","889,006","406,479","482,527","207,288","104,834","102,454","702,026","314,141","387,885","450,283","203,587","246,696","2,977","2,125",852,"54,590","27,198","27,392","192,799","93,789","99,010","13,726","7,862","5,864","813,816","370,821","442,995","29,349","15,608","13,741","2,097,135","932,103","1,165,032","1,486,857","664,042","822,815","13,471","7,236","6,235","939,875","435,578","504,297","180,859","87,578","93,281","51,503","28,435","23,068","931,454","436,469","494,985","49,190","24,932","24,258","899,954","397,538","502,416","11,679","7,261","4,418","737,044","332,503","404,541","2,289,499","1,070,836","1,218,663","19,937","11,561","8,376","5,756","3,941","1,815","1,110,132","514,097","596,035","195,806","105,141","90,665","46,716","27,072","19,644","219,379","105,258","114,121","3,291","2,263","1,028","295,115","143,109","152,006","27,336,967","12,615,129","14,721,838"
        High school graduate or higher,"727,720","319,856","407,864","14,160","8,159","6,001","193,271","96,316","96,955","253,776","113,636","140,140","1,424,975","690,221","734,754","143,961","80,058","63,903","222,119","100,239","121,880","131,494","59,498","71,996","190,880","80,302","110,578","1,868,604","858,138","1,010,466","1,922,073","843,900","1,078,173","18,096","11,147","6,949","5,208","4,033","1,175","1,019,157","444,583","574,574","347,099","158,935","188,164","60,078","33,614","26,464","88,925","43,477","45,448","205,082","99,428","105,654","778,698","337,946","440,752","10,412","5,285","5,127","1,122,972","503,712","619,260","300,736","146,624","154,112","781,709","352,964","428,745","170,209","89,778","80,431","567,525","243,745","323,780","395,226","175,628","219,598","2,515","1,725",790,"46,584","24,326","22,258","174,202","84,734","89,468","11,797","7,043","4,754","722,452","325,638","396,814","25,546","13,635","11,911","1,783,534","787,450","996,084","1,285,273","558,627","726,646","12,556","6,870","5,686","816,049","371,246","444,803","161,783","77,411","84,372","46,574","25,530","21,044","818,947","378,917","440,030","44,815","22,884","21,931","755,058","325,262","429,796","9,009","5,865","3,144","642,620","282,781","359,839","2,087,880","970,364","1,117,516","17,196","9,829","7,367","4,774","3,205","1,569","957,032","435,578","521,454","177,317","97,345","79,972","43,046","25,054","17,992","185,905","87,044","98,861","3,252","2,224","1,028","222,205","102,230","119,975","23,799,881","10,831,809","12,968,072"
        Bachelor's degree or higher,"164,365","61,293","103,072","3,527","1,480","2,047","58,680","25,883","32,797","49,683","18,104","31,579","426,626","196,687","229,939","43,077","24,601","18,476","55,909","23,842","32,067","35,661","15,684","19,977","62,020","25,043","36,977","427,964","170,790","257,174","542,059","201,060","340,999","5,710","2,811","2,899",749,531,218,"266,688","106,102","160,586","76,495","31,162","45,333","10,764","7,538","3,226","21,262","10,138","11,124","44,872","20,144","24,728","161,778","55,299","106,479","4,531","2,215","2,316","382,427","156,279","226,148","98,103","46,521","51,582","160,327","60,003","100,324","45,067","23,297","21,770","111,977","35,955","76,022","87,814","33,588","54,226","1,261",639,622,"11,824","6,397","5,427","35,014","14,014","21,000","5,071","2,960","2,111","206,177","82,963","123,214","8,328","3,716","4,612","514,071","193,502","320,569","333,127","121,340","211,787","2,930","1,342","1,588","164,083","66,630","97,453","35,734","15,505","20,229","15,693","8,812","6,881","187,798","79,447","108,351","11,498","5,526","5,972","157,571","56,557","101,014","2,206","1,287",919,"160,047","56,629","103,418","588,132","252,420","335,712","3,477","2,030","1,447","1,512",837,675,"279,870","110,707","169,163","49,146","25,178","23,968","6,422","3,036","3,386","33,408","12,788","20,620","1,531","1,453",78,"59,997","21,672","38,325","6,164,066","2,481,765","3,682,301"
    American Indian or Alaska Native alone,"16,782","8,511","8,271","66,228","31,653","34,575","198,701","94,355","104,346","12,779","5,286","7,493","218,013","107,717","110,296","38,549","19,532","19,017","5,100","2,455","2,645","3,160","1,368","1,792",N,N,N,"41,021","21,231","19,790","24,821","14,256","10,565","3,815","1,607","2,208","14,880","7,048","7,832","20,287","10,001","10,286","13,195","5,776","7,419","7,678","3,986","3,692","16,317","8,051","8,266","5,539","2,765","2,774","18,751","8,836","9,915","6,426","3,800","2,626","14,328","6,601","7,727","12,808","6,600","6,208","38,741","19,623","19,118","34,650","16,444","18,206","8,424","4,058","4,366","18,101","8,869","9,232","37,153","18,520","18,633","10,910","4,850","6,060","28,056","14,127","13,929",N,N,N,"12,055","7,277","4,778","125,785","59,136","66,649","50,556","24,491","26,065","81,694","39,637","42,057","21,476","8,921","12,555","15,473","8,658","6,815","187,385","88,024","99,361","34,708","16,397","18,311","17,215","8,503","8,712",N,N,N,"13,884","7,938","5,946","38,100","18,593","19,507","14,977","7,867","7,110","98,802","47,528","51,274","20,630","10,851","9,779","2,033",781,"1,252","15,850","8,965","6,885","66,153","31,990","34,163","2,261",987,"1,274","34,006","16,759","17,247","8,656","4,601","4,055",N,N,N,"1,802,438","878,986","923,452"
        High school graduate or higher,"13,240","6,146","7,094","55,331","26,982","28,349","157,995","73,874","84,121","10,649","4,670","5,979","170,934","83,043","87,891","32,408","15,934","16,474","4,604","2,279","2,325","2,630","1,190","1,440",N,N,N,"33,344","16,465","16,879","16,714","9,857","6,857","2,670","1,073","1,597","12,247","5,199","7,048","15,019","7,299","7,720","10,709","4,712","5,997","6,297","2,975","3,322","14,186","6,766","7,420","4,208","1,827","2,381","14,763","6,877","7,886","6,045","3,513","2,532","11,345","5,616","5,729","9,362","4,974","4,388","33,955","17,115","16,840","28,957","13,464","15,493","6,389","3,258","3,131","15,988","8,191","7,797","32,511","16,060","16,451","9,098","4,112","4,986","21,275","11,064","10,211",N,N,N,"9,120","5,517","3,603","102,874","48,653","54,221","38,409","18,941","19,468","63,225","29,302","33,923","18,157","7,226","10,931","12,255","6,444","5,811","161,829","74,806","87,023","29,803","13,454","16,349","13,346","6,425","6,921",N,N,N,"10,732","5,843","4,889","30,473","14,603","15,870","11,680","6,455","5,225","83,245","39,375","43,870","16,902","8,764","8,138","1,461",604,857,"13,128","7,223","5,905","54,468","25,678","28,790","1,909",865,"1,044","30,884","14,742","16,142","7,955","4,100","3,855",N,N,N,"1,469,556","706,492","763,064"
        Bachelor's degree or higher,"3,137",931,"2,206","5,951","2,218","3,733","22,229","8,674","13,555","1,953",700,"1,253","36,572","16,211","20,361","8,479","3,908","4,571","1,260",369,891,373,306,67,N,N,N,"9,796","4,971","4,825","3,425","2,249","1,176","1,090",159,931,"2,966",794,"2,172","4,795","2,419","2,376","1,450",837,613,641,225,416,"2,417","1,453",964,944,641,303,"3,109","1,509","1,600","1,595",980,615,"3,739","1,290","2,449","2,617","1,557","1,060","4,527","2,228","2,299","5,127","2,553","2,574",772,311,461,"2,787","1,632","1,155","5,650","2,137","3,513","1,161",278,883,"4,156","2,353","1,803",N,N,N,"3,429","1,689","1,740","14,816","5,267","9,549","9,348","4,294","5,054","11,995","4,742","7,253","3,778",798,"2,980","2,741","1,148","1,593","32,937","13,714","19,223","7,006","3,085","3,921","3,523","1,554","1,969",N,N,N,"2,624","1,355","1,269","3,366","1,629","1,737","2,322","1,128","1,194","23,685","11,571","12,114","2,415","1,333","1,082",315,181,134,"4,746","2,933","1,813","10,418","4,449","5,969",461,198,263,"4,925","1,675","3,250",924,338,586,N,N,N,"289,540","127,481","162,059"
    Asian alone,"47,226","20,960","26,266","30,918","13,680","17,238","172,708","77,782","94,926","29,658","13,682","15,976","4,363,485","2,006,985","2,356,500","134,942","60,637","74,305","114,306","53,922","60,384","25,875","11,930","13,945","22,230","9,179","13,051","441,665","195,520","246,145","302,385","140,350","162,035","434,234","193,488","240,746","18,301","8,516","9,785","513,285","240,220","273,065","101,424","48,027","53,397","48,872","23,269","25,603","56,876","27,795","29,081","47,711","21,253","26,458","54,463","25,034","29,429","10,990","4,282","6,708","277,535","126,860","150,675","326,204","152,472","173,732","218,309","105,619","112,690","180,643","86,721","93,922","20,681","8,818","11,863","87,803","40,579","47,224","6,867","2,428","4,439","30,283","14,416","15,867","198,870","86,545","112,325","25,955","11,921","14,034","613,693","292,281","321,412","27,650","10,235","17,415","1,213,907","563,544","650,363","213,997","100,422","113,575","7,164","4,142","3,022","185,785","86,765","99,020","58,425","25,428","32,997","136,123","59,292","76,831","309,518","146,050","163,468","25,461","11,978","13,483","58,659","26,264","32,395","7,098","2,826","4,272","87,030","38,501","48,529","1,008,252","478,826","529,426","52,276","23,399","28,877","6,155","2,824","3,331","405,441","182,535","222,906","502,312","227,125","275,187","11,020","4,534","6,486","103,046","46,133","56,913","3,690","1,786","1,904","4,381","1,406","2,975","13,381,406","6,167,780","7,213,626"
        High school graduate or higher,"41,370","18,343","23,027","28,855","12,871","15,984","153,437","71,993","81,444","26,866","12,567","14,299","3,863,863","1,806,985","2,056,878","121,513","55,202","66,311","103,593","49,737","53,856","24,432","11,474","12,958","21,199","9,142","12,057","385,087","175,977","209,110","262,334","123,551","138,783","388,331","175,376","212,955","15,825","7,725","8,100","464,487","221,653","242,834","85,765","40,995","44,770","38,979","18,548","20,431","48,557","24,508","24,049","41,078","18,382","22,696","45,422","21,429","23,993","8,985","3,582","5,403","247,948","114,332","133,616","281,485","133,582","147,903","196,139","97,467","98,672","147,277","73,122","74,155","17,398","7,585","9,813","78,423","37,340","41,083","6,396","2,314","4,082","23,469","11,093","12,376","180,395","78,914","101,481","23,775","11,294","12,481","570,119","275,659","294,460","24,643","8,789","15,854","973,299","458,372","514,927","186,684","91,295","95,389","5,796","3,264","2,532","161,248","77,505","83,743","47,596","21,376","26,220","119,740","53,930","65,810","262,600","126,929","135,671","22,315","10,972","11,343","51,547","23,172","28,375","5,757","2,528","3,229","74,763","33,330","41,433","901,376","434,397","466,979","47,201","21,420","25,781","5,115","2,400","2,715","367,340","169,905","197,435","445,254","206,432","238,822","9,719","4,028","5,691","88,663","41,414","47,249","3,621","1,760","1,861","3,064",734,"2,330","11,747,079","5,515,960","6,231,119"
        Bachelor's degree or higher,"26,378","12,124","14,254","8,835","2,830","6,005","102,839","51,008","51,831","16,513","8,536","7,977","2,370,408","1,112,103","1,258,305","72,037","33,105","38,932","74,596","35,814","38,782","17,058","8,904","8,154","17,845","7,440","10,405","223,348","105,751","117,597","173,356","83,337","90,019","152,079","62,865","89,214","8,785","4,104","4,681","333,637","161,693","171,944","59,907","31,056","28,851","24,934","12,168","12,766","28,347","15,145","13,202","27,318","13,902","13,416","24,952","11,748","13,204","5,029","2,065","2,964","175,597","81,945","93,652","206,273","99,623","106,650","141,371","73,966","67,405","83,282","41,434","41,848","8,558","4,131","4,427","53,848","26,052","27,796","3,293","1,260","2,033","14,277","6,572","7,705","85,411","36,809","48,602","16,719","8,019","8,700","439,356","216,056","223,300","13,718","5,881","7,837","579,958","265,918","314,040","125,226","63,539","61,687","2,906","1,527","1,379","116,146","59,047","57,099","25,215","11,949","13,266","73,490","34,016","39,474","176,483","89,078","87,405","13,411","7,537","5,874","30,136","14,769","15,367","3,029","1,396","1,633","45,438","21,139","24,299","610,703","306,985","303,718","28,736","12,702","16,034","3,036","1,561","1,475","251,603","120,350","131,253","281,574","136,333","145,241","7,297","3,571","3,726","48,838","23,591","25,247","1,719","1,047",672,"1,044",246,798,"7,434,848","3,553,501","3,881,347"
    Native Hawaiian and Other Pacific Islander alone,N,N,N,N,N,N,"9,550","5,080","4,470","4,386","2,330","2,056","106,486","51,547","54,939","5,685","3,313","2,372",N,N,N,N,N,N,N,N,N,"9,935","4,297","5,638","3,675","1,844","1,831","98,477","47,745","50,732",N,N,N,"2,792","1,516","1,276",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"4,114","2,033","2,081",N,N,N,N,N,N,"14,368","6,806","7,562",N,N,N,N,N,N,N,N,N,"5,020","2,315","2,705","4,374","2,517","1,857",N,N,N,"3,809","1,715","2,094","2,691","1,520","1,171","8,893","4,822","4,071","2,139",818,"1,321",N,N,N,N,N,N,N,N,N,N,N,N,"16,349","7,634","8,715","16,930","8,492","8,438",N,N,N,"3,029","1,168","1,861","31,931","13,837","18,094",N,N,N,N,N,N,N,N,N,N,N,N,"395,310","190,929","204,381"
        High school graduate or higher,N,N,N,N,N,N,"8,374","4,633","3,741","1,944",991,953,"92,119","44,681","47,438","3,442","1,540","1,902",N,N,N,N,N,N,N,N,N,"8,026","3,194","4,832","3,124","1,293","1,831","87,788","43,274","44,514",N,N,N,"2,608","1,332","1,276",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"3,260","1,633","1,627",N,N,N,N,N,N,"12,640","6,090","6,550",N,N,N,N,N,N,N,N,N,"4,132","1,895","2,237","3,878","2,201","1,677",N,N,N,"2,697","1,284","1,413","2,215","1,228",987,"8,280","4,548","3,732","1,670",636,"1,034",N,N,N,N,N,N,N,N,N,N,N,N,"14,531","6,531","8,000","15,386","7,984","7,402",N,N,N,"2,832","1,139","1,693","28,094","12,104","15,990",N,N,N,N,N,N,N,N,N,N,N,N,"341,078","164,777","176,301"
