Label,Alaska_Count,Alaska_Male,Alaska_Female,Maine_Count,Maine_Male,Maine_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,Missouri_Count,Missouri_Male,Missouri_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Michigan_Count,Michigan_Male,Michigan_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Oregon_Count,Oregon_Male,Oregon_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,California_Count,California_Male,California_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Texas_Count,Texas_Male,Texas_Female,Idaho_Count,Idaho_Male,Idaho_Female,Maryland_Count,Maryland_Male,Maryland_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,Alabama_Count,Alabama_Male,Alabama_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Vermont_Count,Vermont_Male,Vermont_Female,Nevada_Count,Nevada_Male,Nevada_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female,Kansas_Count,Kansas_Male,Kansas_Female,Virginia_Count,Virginia_Male,Virginia_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,Ohio_Count,Ohio_Male,Ohio_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,Georgia_Count,Georgia_Male,Georgia_Female,Colorado_Count,Colorado_Male,Colorado_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Indiana_Count,Indiana_Male,Indiana_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Washington_Count,Washington_Male,Washington_Female,Illinois_Count,Illinois_Male,Illinois_Female,Iowa_Count,Iowa_Male,Iowa_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,Delaware_Count,Delaware_Male,Delaware_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Montana_Count,Montana_Male,Montana_Female,Arizona_Count,Arizona_Male,Arizona_Female,Florida_Count,Florida_Male,Florida_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Utah_Count,Utah_Male,Utah_Female,New York_Count,New York_Male,New York_Female
Population 35 to 44 years,"97,020","49,236","47,784","153,436","76,188","77,248","1,310,404","637,830","672,574","742,343","371,953","370,390","1,496,113","748,578","747,535","1,165,562","579,279","586,283","244,896","124,804","120,092","556,833","278,457","278,376","72,405","37,833","34,572","5,264,457","2,656,423","2,608,034","380,696","184,834","195,862","424,573","208,728","215,845","3,910,623","1,958,237","1,952,386","219,713","109,816","109,897","775,079","378,498","396,581","256,261","128,922","127,339","593,480","286,454","307,026","846,438","416,426","430,012","70,113","34,485","35,628","405,128","204,946","200,182","218,803","110,878","107,925","492,077","248,920","243,157","706,676","357,503","349,173","396,979","187,922","209,057","359,447","183,376","176,071","1,114,566","550,805","563,761","90,872","48,050","42,822","1,147,591","571,614","575,977","1,396,763","695,109","701,654","623,363","302,604","320,759","1,401,044","674,726","726,318","781,388","403,306","378,082","181,541","92,521","89,020","105,167","53,638","51,529","826,473","411,285","415,188","553,107","277,751","275,356","589,714","290,926","298,788","1,006,328","511,931","494,397","1,644,390","820,568","823,822","383,617","193,316","190,301","154,965","77,396","77,569","123,137","61,486","61,651","367,053","182,036","185,017","112,393","54,832","57,561","714,967","361,715","353,252","128,663","66,101","62,562","882,618","446,978","435,640","2,586,704","1,283,095","1,303,609","842,140","412,260","429,880","105,535","51,963","53,572","437,953","223,572","214,381","2,433,825","1,198,857","1,234,968"
        High school graduate or higher,"92,231","46,235","45,996","145,231","71,331","73,900","1,158,407","550,017","608,390","678,580","337,005","341,575","1,379,181","681,670","697,511","1,064,515","523,840","540,675","221,118","110,658","110,460","494,859","244,097","250,762","67,651","34,665","32,986","4,414,797","2,203,399","2,211,398","335,252","158,065","177,187","390,940","189,919","201,021","3,294,253","1,622,137","1,672,116","199,667","98,352","101,315","701,954","338,548","363,406","218,957","107,787","111,170","521,725","245,594","276,131","758,533","367,933","390,600","66,215","32,073","34,142","347,588","173,642","173,946","200,156","100,040","100,116","436,294","216,945","219,349","656,723","327,364","329,359","349,653","157,350","192,303","319,953","160,653","159,300","1,018,421","497,174","521,247","86,827","45,333","41,494","1,043,032","513,472","529,560","1,282,246","630,347","651,899","559,396","263,694","295,702","1,226,509","577,353","649,156","709,959","363,163","346,796","171,063","86,236","84,827","98,509","50,351","48,158","735,410","360,959","374,451","497,707","244,251","253,456","518,976","248,966","270,010","909,625","456,780","452,845","1,475,718","725,075","750,643","352,873","177,469","175,404","146,890","72,374","74,516","112,620","55,239","57,381","328,076","160,350","167,726","98,573","48,134","50,439","662,043","332,321","329,722","121,995","61,487","60,508","763,432","383,716","379,716","2,304,813","1,118,719","1,186,094","775,852","376,002","399,850","100,192","49,191","51,001","401,520","202,488","199,032","2,165,621","1,053,872","1,111,749"
        Bachelor's degree or higher,"31,041","13,801","17,240","54,900","23,913","30,987","484,117","209,471","274,646","259,787","112,647","147,140","583,201","255,291","327,910","408,231","181,741","226,490","95,170","42,612","52,558","215,217","98,822","116,395","22,916","10,465","12,451","1,953,961","918,520","1,035,441","100,089","38,268","61,821","193,277","86,050","107,227","1,294,156","587,254","706,902","68,566","31,372","37,194","349,345","151,647","197,698","70,530","30,008","40,522","171,847","72,463","99,384","266,300","111,638","154,662","30,071","12,872","17,199","106,128","48,213","57,915","50,028","21,749","28,279","139,418","60,527","78,891","253,274","110,165","143,109","131,967","49,548","82,419","133,908","61,006","72,902","505,985","233,122","272,863","36,178","16,872","19,306","546,641","249,007","297,634","479,184","214,228","264,956","192,636","80,911","111,725","489,718","207,585","282,133","348,507","162,690","185,817","71,880","32,869","39,011","36,096","16,570","19,526","263,694","115,386","148,308","164,458","71,358","93,100","160,455","64,348","96,107","410,935","193,974","216,961","662,207","294,269","367,938","140,025","60,901","79,124","64,401","28,220","36,181","44,146","20,241","23,905","94,907","40,938","53,969","34,613","15,209","19,404","299,607","134,198","165,409","46,887","21,199","25,688","271,351","125,638","145,713","863,948","379,183","484,765","431,563","195,634","235,929","69,423","33,871","35,552","167,713","88,688","79,025","1,055,215","467,184","588,031"
Population 45 to 64 years,"182,645","95,500","87,145","393,933","191,009","202,924","2,720,856","1,304,862","1,415,994","1,586,238","771,187","815,051","3,471,072","1,698,385","1,772,687","2,692,478","1,318,795","1,373,683","460,791","230,282","230,509","1,063,281","524,150","539,131","146,920","73,553","73,367","9,849,452","4,849,443","5,000,009","743,137","356,536","386,601","1,007,785","485,360","522,425","6,784,915","3,325,271","3,459,644","416,513","208,225","208,288","1,634,693","782,297","852,396","512,587","247,843","264,744","1,278,345","612,675","665,670","1,774,805","855,798","919,007","176,778","86,716","90,062","773,613","386,168","387,445","491,760","242,713","249,047","953,199","468,604","484,595","1,563,098","776,061","787,037","848,390","394,361","454,029","713,366","353,245","360,121","2,219,028","1,076,306","1,142,722","176,740","89,460","87,280","2,452,270","1,188,541","1,263,729","3,101,005","1,516,627","1,584,378","1,314,883","622,717","692,166","2,678,457","1,290,838","1,387,619","1,421,388","703,196","718,192","351,556","174,342","177,214","215,025","108,084","106,941","1,716,028","841,734","874,294","1,175,395","572,796","602,599","1,170,154","564,614","605,540","1,891,379","937,359","954,020","3,305,921","1,618,067","1,687,854","788,850","392,189","396,661","402,805","198,213","204,592","288,564","139,390","149,174","754,273","366,618","387,655","259,152","122,981","136,171","1,446,087","720,598","725,489","272,883","134,947","137,936","1,719,255","835,810","883,445","5,598,122","2,691,046","2,907,076","1,862,715","901,250","961,465","145,548","71,207","74,341","619,308","307,072","312,236","5,153,555","2,485,570","2,667,985"
        High school graduate or higher,"171,405","89,447","81,958","370,324","177,705","192,619","2,422,801","1,132,211","1,290,590","1,441,335","694,787","746,548","3,191,231","1,547,712","1,643,519","2,475,804","1,199,023","1,276,781","423,509","209,253","214,256","955,420","462,043","493,377","139,529","69,530","69,999","8,051,275","3,941,753","4,109,522","638,820","295,012","343,808","923,390","438,745","484,645","5,611,068","2,721,427","2,889,641","373,127","184,075","189,052","1,496,127","705,402","790,725","438,079","207,185","230,894","1,116,565","523,396","593,169","1,567,041","745,837","821,204","166,020","79,756","86,264","666,619","329,483","337,136","433,772","209,349","224,423","836,900","405,423","431,477","1,443,656","706,924","736,732","696,064","311,282","384,782","651,764","318,026","333,738","2,006,131","959,457","1,046,674","166,024","83,716","82,308","2,241,754","1,079,244","1,162,510","2,848,126","1,377,539","1,470,587","1,175,187","544,264","630,923","2,374,327","1,125,911","1,248,416","1,308,494","645,133","663,361","328,263","162,978","165,285","199,493","100,261","99,232","1,544,472","749,404","795,068","1,027,874","491,468","536,406","998,998","467,371","531,627","1,731,724","851,468","880,256","2,964,012","1,432,345","1,531,667","731,699","360,210","371,489","379,118","185,326","193,792","256,815","122,428","134,387","655,094","312,164","342,930","238,877","112,053","126,824","1,363,346","672,164","691,182","256,694","125,743","130,951","1,491,721","722,658","769,063","4,997,928","2,372,331","2,625,597","1,702,525","817,846","884,679","131,173","64,330","66,843","572,452","282,819","289,633","4,497,635","2,154,620","2,343,015"
        Bachelor's degree or higher,"54,970","26,696","28,274","113,555","48,970","64,585","852,609","387,285","465,324","450,748","207,206","243,542","1,033,458","491,353","542,105","763,281","359,983","403,298","138,624","65,684","72,940","342,402","163,993","178,409","37,502","18,224","19,278","3,181,498","1,558,224","1,623,274","167,753","71,133","96,620","392,963","180,119","212,844","2,007,952","976,779","1,031,173","112,827","55,694","57,133","663,320","308,536","354,784","139,487","63,390","76,097","320,161","146,818","173,343","468,194","219,791","248,403","64,297","28,704","35,593","185,908","90,931","94,977","100,301","46,214","54,087","234,505","109,454","125,051","443,342","206,272","237,070","237,505","89,336","148,169","236,547","110,012","126,535","863,494","415,026","448,468","44,793","20,161","24,632","983,771","466,804","516,967","866,870","408,639","458,231","356,829","161,180","195,649","868,365","405,489","462,876","580,579","282,557","298,022","115,913","53,976","61,937","56,508","26,486","30,022","446,167","210,054","236,113","272,491","126,075","146,416","263,586","114,149","149,437","652,115","320,886","331,229","1,106,324","524,157","582,167","213,681","99,560","114,121","143,712","68,194","75,518","98,159","46,422","51,737","166,791","76,245","90,546","81,368","37,045","44,323","507,286","240,817","266,469","82,591","37,652","44,939","508,990","245,021","263,969","1,656,610","783,799","872,811","788,960","368,768","420,192","73,235","36,613","36,622","208,897","110,450","98,447","1,757,571","814,441","943,130"
Population 65 years and over,"88,000","44,317","43,683","276,069","124,873","151,196","1,688,574","737,862","950,712","1,035,074","456,820","578,254","2,332,369","1,020,825","1,311,544","1,720,453","769,203","951,250","303,998","136,845","167,153","739,611","340,780","398,831","96,557","46,060","50,497","5,667,337","2,521,517","3,145,820","474,423","205,669","268,754","613,147","267,872","345,275","3,599,599","1,605,880","1,993,719","279,441","132,466","146,975","931,041","401,479","529,562","368,480","168,325","200,155","829,663","360,970","468,693","1,104,797","489,258","615,539","123,875","56,776","67,099","475,120","223,916","251,204","361,216","164,728","196,488","619,601","275,737","343,864","986,483","449,922","536,561","661,216","287,877","373,339","462,191","207,120","255,071","1,318,225","584,381","733,844","116,433","53,766","62,667","1,438,289","620,523","817,766","1,996,163","874,877","1,121,286","899,754","399,256","500,498","1,456,428","633,675","822,753","807,855","369,328","438,527","261,467","118,699","142,768","146,358","67,984","78,374","1,051,146","462,537","588,609","731,392","323,392","408,000","720,610","315,499","405,111","1,163,987","532,355","631,632","1,990,548","869,736","1,120,812","537,818","239,515","298,303","245,156","112,102","133,054","182,645","79,555","103,090","507,676","226,122","281,554","180,756","80,979","99,777","888,634","403,054","485,580","200,239","96,193","104,046","1,259,103","579,400","679,703","4,358,784","1,965,555","2,393,229","1,137,541","492,790","644,751","85,626","35,230","50,396","351,297","164,068","187,229","3,212,065","1,381,107","1,830,958"
        High school graduate or higher,"78,501","39,551","38,950","247,476","111,151","136,325","1,430,755","619,680","811,075","900,458","398,971","501,487","2,035,669","898,340","1,137,329","1,522,902","678,806","844,096","274,295","122,670","151,625","678,185","311,457","366,728","87,458","42,836","44,622","4,570,203","2,085,334","2,484,869","379,031","162,962","216,069","535,509","235,392","300,117","2,880,131","1,303,832","1,576,299","256,615","121,333","135,282","807,120","348,641","458,479","306,557","140,968","165,589","685,342","299,956","385,386","907,962","403,745","504,217","112,201","50,601","61,600","415,755","199,972","215,783","297,867","135,000","162,867","539,930","241,103","298,827","888,179","404,254","483,925","379,196","161,726","217,470","418,562","187,383","231,179","1,116,002","492,699","623,303","100,845","46,193","54,652","1,221,109","529,511","691,598","1,731,636","761,694","969,942","761,542","340,000","421,542","1,213,972","528,755","685,217","737,750","341,406","396,344","224,990","105,024","119,966","131,870","60,993","70,877","907,541","399,980","507,561","587,458","258,082","329,376","593,406","261,205","332,201","1,068,268","493,295","574,973","1,705,568","750,561","955,007","486,601","216,168","270,433","220,247","100,066","120,181","151,394","65,786","85,608","419,010","186,833","232,177","159,155","71,666","87,489","814,400","367,768","446,632","183,647","88,567","95,080","1,102,094","512,255","589,839","3,737,163","1,707,823","2,029,340","975,802","426,259","549,543","72,232","30,042","42,190","324,513","152,545","171,968","2,623,736","1,141,255","1,482,481"
        Bachelor's degree or higher,"28,693","14,828","13,865","83,544","40,659","42,885","453,837","228,154","225,683","241,853","127,095","114,758","569,760","301,829","267,931","425,717","223,183","202,534","77,664","41,146","36,518","235,906","123,788","112,118","23,971","13,315","10,656","1,825,043","948,612","876,431","98,986","48,207","50,779","206,383","105,583","100,800","986,108","531,379","454,729","71,439","38,604","32,835","331,232","167,680","163,552","116,831","61,232","55,599","187,352","97,036","90,316","254,033","137,655","116,378","43,647","20,296","23,351","125,848","71,725","54,123","66,425","35,276","31,149","152,353","79,731","72,622","242,746","127,249","115,497","116,432","50,630","65,802","133,729","68,262","65,467","434,616","225,968","208,648","26,133","11,888","14,245","451,081","239,046","212,035","461,558","236,344","225,214","237,261","128,402","108,859","387,689","203,268","184,421","315,996","168,528","147,468","82,230","42,767","39,463","37,505","19,361","18,144","229,108","121,768","107,340","151,124","78,501","72,623","158,832","80,391","78,441","396,100","211,231","184,869","535,630","271,261","264,369","121,925","62,529","59,396","84,361","45,307","39,054","55,509","27,230","28,279","107,553","55,725","51,828","55,314","28,966","26,348","263,333","139,600","123,733","60,539","32,481","28,058","372,926","201,651","171,275","1,266,955","682,866","584,089","402,067","200,898","201,169","38,742","18,001","20,741","117,665","67,576","50,089","946,417","466,268","480,149"
RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    White alone,"335,872","177,330","158,542","939,427","451,322","488,105","5,059,021","2,429,790","2,629,231","3,531,199","1,708,807","1,822,392","7,457,859","3,601,548","3,856,311","5,549,960","2,708,561","2,841,399","1,125,309","551,330","573,979","2,552,481","1,247,120","1,305,361","363,832","183,484","180,348","16,423,461","8,116,794","8,306,667","1,218,018","587,338","630,680","1,951,416","932,052","1,019,364","13,801,242","6,761,997","7,039,245","1,046,059","517,629","528,430","2,392,026","1,159,087","1,232,939","1,107,683","537,213","570,470","2,353,384","1,128,932","1,224,452","3,711,232","1,788,547","1,922,685","424,390","205,219","219,171","1,400,866","710,933","689,933","1,207,219","583,995","623,224","1,986,790","965,121","1,021,669","3,524,762","1,735,221","1,789,541","1,495,902","680,374","815,528","1,656,933","807,202","849,731","4,064,370","1,983,687","2,080,683","442,344","225,113","217,231","4,282,329","2,060,493","2,221,836","6,709,567","3,239,979","3,469,588","2,452,143","1,175,370","1,276,773","4,264,577","2,070,542","2,194,035","3,356,695","1,672,167","1,684,528","262,860","139,411","123,449","512,733","255,622","257,111","3,821,716","1,852,157","1,969,559","2,701,832","1,299,509","1,402,323","2,034,844","988,902","1,045,942","4,064,524","2,010,073","2,054,451","6,447,928","3,139,223","3,308,705","1,948,160","949,432","998,728","912,131","444,044","468,087","621,587","295,092","326,495","1,612,898","779,668","833,230","488,164","233,703","254,461","3,286,036","1,613,742","1,672,294","669,179","331,438","337,741","3,905,802","1,909,086","1,996,716","11,904,603","5,750,221","6,154,382","3,865,513","1,839,158","2,026,355","226,323","114,513","111,810","1,638,423","811,349","827,074","8,956,108","4,322,688","4,633,420"
        High school graduate or higher,"320,284","168,254","152,030","876,365","417,094","459,271","4,556,786","2,147,934","2,408,852","3,217,837","1,550,419","1,667,418","6,886,019","3,308,001","3,578,018","5,114,831","2,476,366","2,638,465","1,045,283","506,329","538,954","2,343,980","1,128,946","1,215,034","340,604","171,411","169,193","14,128,313","6,962,352","7,165,961","1,073,033","507,170","565,863","1,815,867","861,115","954,752","11,640,962","5,666,292","5,974,670","964,321","473,102","491,219","2,223,557","1,071,151","1,152,406","966,016","460,297","505,719","2,077,405","986,029","1,091,376","3,290,278","1,572,397","1,717,881","397,871","188,933","208,938","1,258,774","637,079","621,695","1,058,274","503,949","554,325","1,778,273","855,777","922,496","3,296,823","1,610,188","1,686,635","1,174,550","522,976","651,574","1,531,105","739,164","791,941","3,722,794","1,796,705","1,926,089","413,741","209,016","204,725","3,933,516","1,881,815","2,051,701","6,149,160","2,951,431","3,197,729","2,221,747","1,054,176","1,167,571","3,787,666","1,819,059","1,968,607","3,122,807","1,548,744","1,574,063","255,547","135,645","119,902","482,326","239,394","242,932","3,443,870","1,654,162","1,789,708","2,357,584","1,118,817","1,238,767","1,804,052","866,928","937,124","3,802,350","1,867,624","1,934,726","5,910,003","2,857,689","3,052,314","1,815,856","879,059","936,797","853,414","411,288","442,126","564,610","266,400","298,210","1,427,319","681,927","745,392","445,330","212,139","233,191","3,133,370","1,523,007","1,610,363","632,913","311,023","321,890","3,476,734","1,694,300","1,782,434","10,700,031","5,129,588","5,570,443","3,586,139","1,697,481","1,888,658","221,467","112,525","108,942","1,540,783","760,871","779,912","8,197,781","3,935,448","4,262,333"
        Bachelor's degree or higher,"121,662","59,680","61,982","298,234","132,223","166,011","1,754,400","823,071","931,329","1,069,915","499,559","570,356","2,448,709","1,170,072","1,278,637","1,684,039","812,488","871,551","375,862","176,556","199,306","879,977","423,120","456,857","99,097","47,240","51,857","5,737,180","2,849,560","2,887,620","328,165","150,279","177,886","820,696","384,081","436,615","4,203,417","2,043,572","2,159,845","297,287","144,093","153,194","1,082,858","524,529","558,329","337,253","158,786","178,467","663,038","320,161","342,877","1,056,251","505,095","551,156","161,585","72,024","89,561","374,516","192,732","181,784","256,360","121,199","135,161","536,633","257,294","279,339","1,094,838","511,720","583,118","427,933","171,526","256,407","577,723","271,446","306,277","1,708,002","835,044","872,958","134,877","59,943","74,934","1,782,058","851,728","930,330","2,005,736","943,277","1,062,459","806,478","386,564","419,914","1,474,955","718,539","756,416","1,448,839","708,534","740,305","116,807","60,232","56,575","158,079","75,122","82,957","1,054,070","498,941","555,129","680,194","313,488","366,706","574,764","265,686","309,078","1,495,674","739,851","755,823","2,366,081","1,131,529","1,234,552","567,298","261,910","305,388","334,484","159,183","175,301","223,234","105,922","117,312","402,377","187,098","215,279","161,980","75,544","86,436","1,243,467","586,425","657,042","218,732","104,363","114,369","1,206,106","597,897","608,209","3,809,223","1,868,748","1,940,475","1,778,246","831,788","946,458","204,897","103,605","101,292","594,106","313,289","280,817","3,712,238","1,746,680","1,965,558"
"    White alone, not Hispanic or Latino","318,874","168,998","149,876","929,693","446,818","482,875","4,763,977","2,279,262","2,484,715","3,439,697","1,663,777","1,775,920","7,169,698","3,456,844","3,712,854","5,367,328","2,616,152","2,751,176","1,051,865","513,840","538,025","2,361,136","1,148,453","1,212,683","338,739","170,772","167,967","11,160,404","5,530,486","5,629,918","1,191,113","572,854","618,259","1,761,332","843,043","918,289","8,620,655","4,210,166","4,410,489","977,426","481,493","495,933","2,239,774","1,079,940","1,159,834","605,821","295,572","310,249","2,292,702","1,098,817","1,193,885","3,588,270","1,723,089","1,865,181","418,883","202,631","216,252","1,141,780","580,107","561,673","1,196,662","578,127","618,535","1,851,977","894,258","957,719","3,396,952","1,669,087","1,727,865","23,562","14,029","9,533","1,531,840","742,691","789,149","3,771,260","1,833,925","1,937,335","434,400","220,403","213,997","3,596,092","1,723,145","1,872,947","6,554,751","3,161,500","3,393,251","2,359,200","1,128,153","1,231,047","3,933,908","1,902,565","2,031,343","2,834,445","1,408,449","1,425,996","240,527","128,342","112,185","501,702","249,341","252,361","3,680,035","1,777,765","1,902,270","2,649,257","1,274,231","1,375,026","1,941,691","939,200","1,002,491","3,795,367","1,873,177","1,922,190","5,677,276","2,745,183","2,932,093","1,875,578","913,599","961,979","891,901","434,495","457,406","566,474","268,334","298,140","1,547,248","746,188","801,060","455,106","216,694","238,412","3,196,491","1,568,905","1,627,586","653,868","325,359","328,509","2,970,679","1,450,145","1,520,534","8,837,998","4,274,564","4,563,434","3,611,061","1,720,761","1,890,300","201,521","101,481","100,040","1,513,080","748,987","764,093","7,945,102","3,830,470","4,114,632"
        High school graduate or higher,"304,489","160,301","144,188","867,467","412,783","454,684","4,366,598","2,058,623","2,307,975","3,145,052","1,513,984","1,631,068","6,672,124","3,203,247","3,468,877","4,977,877","2,408,790","2,569,087","996,071","482,336","513,735","2,220,654","1,069,121","1,151,533","320,075","161,649","158,426","10,610,901","5,260,141","5,350,760","1,053,945","496,881","557,064","1,669,857","794,941","874,916","8,126,931","3,962,750","4,164,181","918,946","450,161","468,785","2,107,175","1,010,949","1,096,226","578,861","278,779","300,082","2,032,413","964,682","1,067,731","3,208,101","1,529,899","1,678,202","392,838","186,629","206,209","1,073,588","545,122","528,466","1,049,618","499,136","550,482","1,690,141","812,369","877,772","3,201,288","1,562,657","1,638,631","20,340","12,253","8,087","1,449,412","698,225","751,187","3,503,222","1,687,032","1,816,190","406,895","204,929","201,966","3,403,892","1,625,998","1,777,894","6,028,741","2,892,507","3,136,234","2,153,738","1,020,791","1,132,947","3,574,157","1,712,311","1,861,846","2,737,634","1,356,263","1,381,371","234,379","125,155","109,224","474,990","235,128","239,862","3,342,848","1,603,546","1,739,302","2,318,219","1,099,414","1,218,805","1,732,887","828,425","904,462","3,613,887","1,776,137","1,837,750","5,355,889","2,580,604","2,775,285","1,768,548","855,913","912,635","837,602","403,943","433,659","520,485","245,426","275,059","1,387,348","662,836","724,512","425,389","202,074","223,315","3,068,104","1,491,675","1,576,429","619,267","306,001","313,266","2,806,570","1,367,533","1,439,037","8,225,745","3,951,337","4,274,408","3,402,739","1,613,336","1,789,403","200,337","101,062","99,275","1,444,302","712,583","731,719","7,432,811","3,566,552","3,866,259"
        Bachelor's degree or higher,"116,327","57,301","59,026","294,318","131,037","163,281","1,702,083","798,539","903,544","1,046,132","487,924","558,208","2,387,790","1,141,860","1,245,930","1,646,551","794,179","852,372","364,184","171,070","193,114","845,622","407,322","438,300","96,235","46,085","50,150","4,956,823","2,499,819","2,457,004","323,206","147,874","175,332","780,797","366,982","413,815","3,386,967","1,679,846","1,707,121","289,391","140,214","149,177","1,036,509","500,348","536,161","254,713","122,527","132,186","647,753","312,751","335,002","1,031,855","492,986","538,869","159,244","71,386","87,858","340,087","175,315","164,772","254,291","120,216","134,075","518,866","248,665","270,201","1,071,202","502,001","569,201","9,102","5,102","4,000","560,257","262,818","297,439","1,624,541","793,160","831,381","133,378","59,014","74,364","1,617,812","778,907","838,905","1,972,585","928,208","1,044,377","787,503","378,018","409,485","1,410,312","688,850","721,462","1,359,475","667,261","692,214","109,010","56,568","52,442","156,385","74,064","82,321","1,028,613","486,497","542,116","667,915","307,890","360,025","554,210","255,551","298,659","1,442,931","714,517","728,414","2,235,134","1,071,214","1,163,920","556,530","256,817","299,713","329,677","156,701","172,976","214,244","101,306","112,938","392,909","182,767","210,142","156,087","72,740","83,347","1,223,220","576,315","646,905","214,902","103,338","111,564","1,071,678","535,482","536,196","2,997,921","1,492,637","1,505,284","1,713,235","803,308","909,927","186,579","94,022","92,557","570,157","302,710","267,447","3,467,217","1,636,911","1,830,306"
    Black alone,"16,755","9,338","7,417","10,297","6,826","3,471","1,470,541","657,052","813,489","445,441","203,354","242,087","907,280","423,926","483,354","879,420","400,807","478,613","54,501","28,627","25,874","52,005","28,784","23,221","3,042","1,974","1,068","1,558,031","760,193","797,838","703,897","315,018","388,879","253,232","117,192","136,040","2,230,935","1,039,626","1,191,309","6,479","4,494","1,985","1,225,052","551,441","673,611","30,579","17,676","12,903","840,291","374,302","465,989","723,971","329,547","394,424","4,492","2,466","2,026","182,783","89,068","93,715","46,436","26,435","20,001","179,094","86,343","92,751","214,457","98,814","115,643","292,690","143,368","149,322","102,734","52,791","49,943","1,092,597","511,125","581,472","13,364","7,679","5,685","806,793","367,146","439,647","925,725","426,740","498,985","875,965","388,846","487,119","2,118,866","948,453","1,170,413","155,288","83,214","72,074","18,660","11,748","6,912","9,869","6,287","3,582","389,196","179,286","209,910","225,431","108,999","116,432","944,575","429,697","514,878","185,821","102,974","82,847","1,165,832","523,594","642,238","60,284","31,054","29,230","13,486","8,470","5,016","42,060","21,423","20,637","281,315","126,861","154,454","139,255","62,065","77,190","201,642","99,850","101,792","3,468","2,139","1,329","208,740","107,812","100,928","2,189,261","1,020,569","1,168,692","343,285","163,384","179,901","218,765","95,615","123,150","18,798","11,621","7,177","2,075,639","934,093","1,141,546"
        High school graduate or higher,"15,967","8,920","7,047","8,440","5,813","2,627","1,271,111","554,853","716,258","386,093","174,665","211,428","791,561","369,766","421,795","765,543","344,111","421,432","48,592","25,662","22,930","45,777","25,671","20,106","2,997","1,929","1,068","1,411,861","678,801","733,060","573,377","246,026","327,351","220,782","101,180","119,602","2,008,280","925,273","1,083,007","5,995","4,327","1,668","1,104,805","490,757","614,048","27,204","15,790","11,414","701,544","303,834","397,710","620,190","280,408","339,782","4,126","2,100","2,026","161,749","78,959","82,790","42,130","23,719","18,411","160,460","76,017","84,443","181,332","81,805","99,527","222,849","104,654","118,195","89,940","45,979","43,961","942,104","434,421","507,683","10,535","6,982","3,553","710,651","320,799","389,852","795,468","363,649","431,819","734,561","315,905","418,656","1,854,298","812,475","1,041,823","139,521","74,692","64,829","18,190","11,278","6,912","7,573","5,117","2,456","333,286","151,723","181,563","194,954","93,103","101,851","765,686","331,465","434,221","167,426","93,731","73,695","1,009,109","443,293","565,816","51,774","26,941","24,833","11,088","7,049","4,039","35,857","18,631","17,226","237,531","107,451","130,080","123,729","54,296","69,433","163,921","83,734","80,187","2,970","1,711","1,259","185,428","97,027","88,401","1,834,277","844,995","989,282","297,551","141,826","155,725","192,679","83,489","109,190","16,389","10,204","6,185","1,742,408","781,397","961,011"
