Label,Alabama_Count,Alabama_Male,Alabama_Female,Alaska_Count,Alaska_Male,Alaska_Female,Arizona_Count,Arizona_Male,Arizona_Female,Arkansas_Count,Arkansas_Male,Arkansas_Female,California_Count,California_Male,California_Female,Colorado_Count,Colorado_Male,Colorado_Female,Connecticut_Count,Connecticut_Male,Connecticut_Female,Delaware_Count,Delaware_Male,Delaware_Female,District of Columbia_Count,District of Columbia_Male,District of Columbia_Female,Florida_Count,Florida_Male,Florida_Female,Georgia_Count,Georgia_Male,Georgia_Female,Hawaii_Count,Hawaii_Male,Hawaii_Female,Idaho_Count,Idaho_Male,Idaho_Female,Illinois_Count,Illinois_Male,Illinois_Female,Indiana_Count,Indiana_Male,Indiana_Female,Iowa_Count,Iowa_Male,Iowa_Female,Kansas_Count,Kansas_Male,Kansas_Female,Kentucky_Count,Kentucky_Male,Kentucky_Female,Louisiana_Count,Louisiana_Male,Louisiana_Female,Maine_Count,Maine_Male,Maine_Female,Maryland_Count,Maryland_Male,Maryland_Female,Massachusetts_Count,Massachusetts_Male,Massachusetts_Female,Michigan_Count,Michigan_Male,Michigan_Female,Minnesota_Count,Minnesota_Male,Minnesota_Female,Mississippi_Count,Mississippi_Male,Mississippi_Female,Missouri_Count,Missouri_Male,Missouri_Female,Montana_Count,Montana_Male,Montana_Female,Nebraska_Count,Nebraska_Male,Nebraska_Female,Nevada_Count,Nevada_Male,Nevada_Female,New Hampshire_Count,New Hampshire_Male,New Hampshire_Female,New Jersey_Count,New Jersey_Male,New Jersey_Female,New Mexico_Count,New Mexico_Male,New Mexico_Female,New York_Count,New York_Male,New York_Female,North Carolina_Count,North Carolina_Male,North Carolina_Female,North Dakota_Count,North Dakota_Male,North Dakota_Female,Ohio_Count,Ohio_Male,Ohio_Female,Oklahoma_Count,Oklahoma_Male,Oklahoma_Female,Oregon_Count,Oregon_Male,Oregon_Female,Pennsylvania_Count,Pennsylvania_Male,Pennsylvania_Female,Rhode Island_Count,Rhode Island_Male,Rhode Island_Female,South Carolina_Count,South Carolina_Male,South Carolina_Female,South Dakota_Count,South Dakota_Male,South Dakota_Female,Tennessee_Count,Tennessee_Male,Tennessee_Female,Texas_Count,Texas_Male,Texas_Female,Utah_Count,Utah_Male,Utah_Female,Vermont_Count,Vermont_Male,Vermont_Female,Virginia_Count,Virginia_Male,Virginia_Female,Washington_Count,Washington_Male,Washington_Female,West Virginia_Count,West Virginia_Male,West Virginia_Female,Wisconsin_Count,Wisconsin_Male,Wisconsin_Female,Wyoming_Count,Wyoming_Male,Wyoming_Female,Puerto Rico_Count,Puerto Rico_Male,Puerto Rico_Female
    White alone,"2,342,850","1,129,521","1,213,329","334,466","176,873","157,593","3,800,035","1,856,826","1,943,209","1,600,041","773,845","826,196","16,205,852","8,003,959","8,201,893","3,293,204","1,636,220","1,656,984","1,965,707","940,218","1,025,489","486,639","232,981","253,658","218,184","109,594","108,590","11,774,810","5,680,212","6,094,598","4,251,758","2,067,611","2,184,147","270,276","144,098","126,178","1,021,668","503,267","518,401","6,438,389","3,133,384","3,305,005","3,822,117","1,850,038","1,972,079","1,935,933","943,428","992,505","1,653,177","802,896","850,281","2,690,118","1,295,808","1,394,310","2,038,970","989,212","1,049,758","932,606","448,681","483,925","2,403,782","1,160,834","1,242,948","3,884,683","1,850,025","2,034,658","5,525,976","2,695,312","2,830,664","3,263,895","1,602,754","1,661,141","1,211,539","581,209","630,330","3,511,414","1,699,988","1,811,426","658,190","328,250","329,940","1,131,814","555,199","576,615","1,395,786","709,882","685,904","902,395","439,238","463,157","4,360,008","2,097,621","2,262,387","1,087,117","527,553","559,564","9,034,087","4,367,739","4,666,348","5,024,276","2,411,069","2,613,207","441,932","224,922","217,010","6,695,975","3,229,716","3,466,259","1,976,555","958,431","1,018,124","2,526,224","1,236,156","1,290,068","7,482,827","3,610,683","3,872,144","627,563","298,324","329,239","2,423,368","1,166,021","1,257,347","507,840","252,154","255,686","3,682,954","1,772,988","1,909,966","13,642,801","6,686,123","6,956,678","1,600,310","790,920","809,390","419,964","202,711","217,253","4,045,095","1,970,046","2,075,049","4,012,319","1,981,444","2,030,875","1,208,741","585,181","623,560","3,498,535","1,719,461","1,779,074","361,360","183,340","178,020","1,563,207","702,936","860,271"
        High school graduate or higher,"2,065,729","988,400","1,077,329","318,657","168,349","150,308","3,375,275","1,634,786","1,740,489","1,419,259","678,960","740,299","13,969,906","6,870,831","7,099,075","3,060,036","1,512,466","1,547,570","1,817,713","862,906","954,807","442,849","208,012","234,837","213,380","106,925","106,455","10,565,468","5,062,019","5,503,449","3,768,915","1,811,615","1,957,300","261,478","139,999","121,479","939,160","457,089","482,071","5,894,690","2,846,722","3,047,968","3,422,019","1,640,263","1,781,756","1,803,495","873,493","930,002","1,525,758","736,181","789,577","2,322,680","1,100,007","1,222,673","1,805,227","861,750","943,477","863,825","407,513","456,312","2,222,290","1,067,620","1,154,670","3,599,248","1,709,215","1,890,033","5,089,799","2,466,527","2,623,272","3,110,706","1,516,308","1,594,398","1,057,153","498,627","558,526","3,179,768","1,528,418","1,651,350","616,718","305,150","311,568","1,049,017","511,508","537,509","1,248,013","633,399","614,614","842,315","406,749","435,566","3,988,850","1,915,853","2,072,997","951,985","459,065","492,920","8,238,919","3,954,878","4,284,041","4,502,678","2,121,873","2,380,805","413,867","209,975","203,892","6,106,412","2,930,135","3,176,277","1,762,257","845,960","916,297","2,326,835","1,128,065","1,198,770","6,863,352","3,294,164","3,569,188","562,278","267,061","295,217","2,179,378","1,036,886","1,142,492","474,815","234,939","239,876","3,254,886","1,549,694","1,705,192","11,453,425","5,570,768","5,882,657","1,508,625","742,547","766,078","391,077","184,259","206,818","3,696,458","1,789,412","1,907,046","3,749,015","1,841,666","1,907,349","1,052,070","501,357","550,713","3,279,332","1,595,813","1,683,519","337,803","170,152","167,651","1,207,102","528,330","678,772"
        Bachelor's degree or higher,"667,005","323,669","343,336","115,458","54,523","60,935","1,167,756","577,448","590,308","399,109","186,575","212,534","5,651,262","2,818,036","2,833,226","1,411,798","692,800","718,998","816,852","384,361","432,491","159,608","76,098","83,510","193,136","95,378","97,758","3,673,318","1,796,950","1,876,368","1,429,991","691,957","738,034","119,219","62,472","56,747","279,619","140,064","139,555","2,335,004","1,123,761","1,211,243","1,038,611","489,936","548,675","565,200","264,005","301,195","576,892","275,038","301,854","646,883","298,471","348,412","566,598","259,885","306,713","300,450","131,285","169,165","1,059,381","506,222","553,159","1,744,869","818,539","926,330","1,656,834","801,183","855,651","1,215,794","576,807","638,987","306,864","140,892","165,972","1,053,065","494,312","558,753","220,110","105,351","114,759","367,900","172,938","194,962","369,206","190,738","178,468","330,258","154,360","175,898","1,746,500","841,202","905,298","318,503","148,224","170,279","3,656,815","1,725,969","1,930,846","1,710,322","806,156","904,166","137,340","63,656","73,684","1,928,744","917,246","1,011,498","536,615","251,316","285,299","855,912","411,572","444,340","2,421,062","1,155,340","1,265,722","216,982","100,056","116,926","790,974","379,269","411,705","151,726","73,504","78,222","1,039,984","502,725","537,259","4,069,206","1,972,870","2,096,336","576,293","307,752","268,541","160,756","70,057","90,699","1,659,583","811,177","848,406","1,435,792","710,093","725,699","242,483","110,245","132,238","1,098,256","514,815","583,441","101,550","48,567","52,983","429,665","157,546","272,119"
"White alone, not Hispanic or Latino","2,283,461","1,097,286","1,186,175","320,775","170,087","150,688","2,918,549","1,423,643","1,494,906","1,540,589","743,494","797,095","11,228,631","5,558,568","5,670,063","2,796,851","1,386,422","1,410,429","1,772,594","848,519","924,075","452,331","215,404","236,927","197,526","99,906","97,620","8,767,219","4,242,184","4,525,035","3,914,442","1,890,673","2,023,769","241,798","129,784","112,014","954,238","468,717","485,521","5,711,077","2,761,927","2,949,150","3,673,030","1,772,874","1,900,156","1,873,817","910,610","963,207","1,532,432","742,905","789,527","2,637,733","1,267,282","1,370,451","1,948,052","941,365","1,006,687","924,847","444,683","480,164","2,252,470","1,085,382","1,167,088","3,616,179","1,721,574","1,894,605","5,348,762","2,604,686","2,744,076","3,185,661","1,562,917","1,622,744","1,187,342","568,543","618,799","3,430,994","1,659,435","1,771,559","645,390","321,536","323,854","1,051,542","513,062","538,480","1,133,748","575,393","558,355","882,708","429,820","452,888","3,639,609","1,742,068","1,897,541","606,845","295,631","311,214","8,022,627","3,867,143","4,155,484","4,722,706","2,257,220","2,465,486","433,535","220,045","213,490","6,548,988","3,157,789","3,391,199","1,851,740","894,667","957,073","2,337,915","1,137,129","1,200,786","7,181,183","3,461,082","3,720,101","570,790","270,836","299,954","2,326,125","1,113,842","1,212,283","496,930","246,398","250,532","3,558,105","1,706,661","1,851,444","8,580,069","4,187,907","4,392,162","1,485,935","734,858","751,077","415,798","201,018","214,780","3,769,493","1,833,304","1,936,189","3,755,569","1,851,847","1,903,722","1,200,372","581,068","619,304","3,379,845","1,659,683","1,720,162","339,033","170,938","168,095","16,689","8,821","7,868"
    High school graduate or higher,"2,024,688","966,667","1,058,021","305,645","162,039","143,606","2,759,267","1,337,244","1,422,023","1,380,797","659,115","721,682","10,668,875","5,266,202","5,402,673","2,694,144","1,331,924","1,362,220","1,673,232","795,752","877,480","421,290","197,255","224,035","196,066","98,865","97,201","8,144,549","3,916,710","4,227,839","3,558,113","1,706,243","1,851,870","235,081","126,545","108,536","893,033","434,886","458,147","5,387,377","2,594,905","2,792,472","3,326,258","1,593,006","1,733,252","1,762,615","851,652","910,963","1,444,238","697,070","747,168","2,282,144","1,078,466","1,203,678","1,737,717","827,604","910,113","857,035","404,123","452,912","2,109,032","1,012,519","1,096,513","3,400,162","1,614,808","1,785,354","4,955,599","2,399,531","2,556,068","3,052,957","1,487,520","1,565,437","1,039,581","489,332","550,249","3,117,180","1,498,034","1,619,146","607,037","300,793","306,244","1,001,958","487,772","514,186","1,066,450","542,529","523,921","826,164","399,614","426,550","3,438,095","1,646,968","1,791,127","575,935","278,669","297,266","7,493,452","3,588,704","3,904,748","4,319,996","2,031,212","2,288,784","406,705","205,751","200,954","5,990,899","2,874,689","3,116,210","1,680,541","806,486","874,055","2,197,798","1,062,602","1,135,196","6,639,584","3,185,810","3,453,774","516,136","244,620","271,516","2,110,514","1,002,086","1,108,428","466,384","230,232","236,152","3,172,091","1,508,455","1,663,636","8,066,539","3,933,273","4,133,266","1,420,826","700,447","720,379","387,594","182,960","204,634","3,492,422","1,687,655","1,804,767","3,565,388","1,748,990","1,816,398","1,045,115","497,684","547,431","3,191,795","1,553,509","1,638,286","320,733","160,661","160,072","14,372","7,436","6,936"
    Bachelor's degree or higher,"653,852","318,122","335,730","111,204","53,062","58,142","1,045,567","522,182","523,385","390,662","182,575","208,087","4,926,760","2,492,972","2,433,788","1,327,941","653,504","674,437","777,516","367,173","410,343","155,771","74,401","81,370","179,352","89,505","89,847","2,923,485","1,458,190","1,465,295","1,368,419","661,336","707,083","112,861","59,121","53,740","272,070","136,410","135,660","2,213,451","1,069,166","1,144,285","1,015,221","479,085","536,136","556,008","259,745","296,263","559,434","266,215","293,219","634,745","291,858","342,887","549,538","252,051","297,487","297,672","129,663","168,009","1,012,296","484,627","527,669","1,688,677","792,600","896,077","1,623,614","786,819","836,795","1,199,460","569,308","630,152","301,719","138,929","162,790","1,034,438","485,314","549,124","217,814","104,643","113,171","358,709","167,824","190,885","337,037","175,118","161,919","325,050","151,954","173,096","1,593,464","773,788","819,676","242,356","114,519","127,837","3,427,375","1,624,737","1,802,638","1,658,051","782,334","875,717","136,559","63,438","73,121","1,899,538","904,834","994,704","520,547","244,430","276,117","824,772","397,651","427,121","2,366,302","1,131,015","1,235,287","208,453","96,274","112,179","773,676","371,625","402,051","149,679","72,383","77,296","1,018,581","492,459","526,122","3,308,595","1,632,473","1,676,122","554,733","296,780","257,953","158,861","69,323","89,538","1,583,639","773,068","810,571","1,386,787","685,690","701,097","240,132","109,251","130,881","1,076,187","505,427","570,760","98,547","47,365","51,182","6,885","3,043","3,842"
Black alone,"833,006","371,055","461,951","13,931","8,421","5,510","192,907","100,818","92,089","278,042","128,251","149,791","1,553,323","749,693","803,630","146,066","78,153","67,913","245,862","113,314","132,548","137,339","61,340","75,999","217,915","94,751","123,164","2,137,020","991,133","1,145,887","2,079,786","929,626","1,150,160","15,653","9,614","6,039","6,498","4,066","2,432","1,168,603","525,356","643,247","383,579","176,871","206,708","57,195","29,080","28,115","101,011","52,218","48,793","224,307","105,150","119,157","935,496","425,367","510,129","8,870","5,558","3,312","1,216,114","545,684","670,430","337,720","158,282","179,438","875,432","401,476","473,956","196,415","99,267","97,148","689,164","308,868","380,296","432,245","192,261","239,984","3,105","1,822","1,283","53,583","26,904","26,679","175,821","86,120","89,701","13,572","8,366","5,206","802,713","363,179","439,534","27,850","16,887","10,963","2,098,464","939,187","1,159,277","1,439,450","643,482","795,968","13,448","8,366","5,082","911,989","419,669","492,320","176,022","86,704","89,318","49,421","27,540","21,881","904,357","420,265","484,092","38,569","18,386","20,183","867,504","386,341","481,163","9,548","6,105","3,443","710,141","323,142","386,999","2,156,713","1,008,441","1,148,272","19,072","12,189","6,883","3,755","2,524","1,231","1,074,928","501,492","573,436","177,786","97,636","80,150","45,920","24,790","21,130","212,464","100,557","111,907",N,N,N,"288,329","135,447","152,882"
    High school graduate or higher,"692,547","300,007","392,540","12,735","7,688","5,047","174,892","91,318","83,574","231,605","105,197","126,408","1,391,797","666,173","725,624","132,871","70,476","62,395","213,115","95,077","118,038","124,670","54,797","69,873","188,567","80,899","107,668","1,787,709","816,345","971,364","1,792,691","782,128","1,010,563","14,851","9,284","5,567","5,861","3,911","1,950","1,013,687","449,635","564,052","326,696","149,390","177,306","48,896","24,486","24,410","87,418","43,934","43,484","198,499","92,324","106,175","741,500","323,874","417,626","7,199","4,455","2,744","1,093,637","483,027","610,610","288,190","134,013","154,177","754,126","337,559","416,567","159,611","84,380","75,231","551,273","238,062","313,211","367,165","160,041","207,124","2,784","1,776","1,008","45,980","23,103","22,877","156,537","77,408","79,129","11,749","7,599","4,150","699,908","313,014","386,894","24,610","15,168","9,442","1,750,419","769,324","981,095","1,229,622","538,329","691,293","12,017","7,929","4,088","778,024","353,376","424,648","157,652","77,113","80,539","43,699","24,598","19,101","788,905","360,830","428,075","31,528","14,867","16,661","709,403","302,548","406,855","8,874","5,621","3,253","618,424","276,405","342,019","1,929,416","887,784","1,041,632","16,467","10,612","5,855","3,369","2,230","1,139","926,340","425,452","500,888","160,946","89,204","71,742","41,338","22,371","18,967","178,019","82,951","95,068",N,N,N,"213,758","96,845","116,913"
    Bachelor's degree or higher,"140,364","47,467","92,897","2,501","1,229","1,272","46,974","23,879","23,095","43,888","17,355","26,533","396,939","175,244","221,695","41,187","21,095","20,092","48,871","18,771","30,100","30,830","11,629","19,201","58,167","25,155","33,012","402,237","160,730","241,507","485,165","183,766","301,399","5,458","2,777","2,681","1,589","1,077",512,"246,067","94,148","151,919","73,706","29,554","44,152","11,258","5,277","5,981","20,245","9,281","10,964","42,622","16,880","25,742","136,452","46,097","90,355","2,111","1,184",927,"358,259","141,426","216,833","87,437","37,394","50,043","152,526","54,744","97,782","43,151","25,946","17,205","105,737","36,925","68,812","74,614","28,288","46,326",542,369,173,"9,629","4,610","5,019","32,469","13,394","19,075","3,523","1,693","1,830","198,178","80,933","117,245","6,255","3,747","2,508","501,805","194,710","307,095","304,658","109,093","195,565","3,414","2,262","1,152","153,023","63,185","89,838","34,775","16,271","18,504","14,272","7,071","7,201","174,529","72,680","101,849","8,266","4,480","3,786","128,683","42,508","86,175","1,312",753,559,"142,633","49,834","92,799","522,444","210,467","311,977","6,086","3,994","2,092","1,393","1,003",390,"266,317","112,479","153,838","45,833","25,988","19,845","7,092","3,915","3,177","30,506","10,927","19,579",N,N,N,"60,506","21,524","38,982"
American Indian or Alaska Native alone,"18,800","9,752","9,048","61,217","29,637","31,580","187,510","87,785","99,725","12,408","5,683","6,725","207,809","104,691","103,118","39,748","19,075","20,673","7,322","4,058","3,264","2,000",947,"1,053",N,N,N,"44,100","23,804","20,296","24,069","12,429","11,640","2,137","1,275",862,"13,715","6,835","6,880","22,151","12,495","9,656","9,288","5,151","4,137","5,780","2,955","2,825","14,062","6,813","7,249","5,941","2,873","3,068","15,118","7,724","7,394","5,796","2,801","2,995","12,516","6,167","6,349","8,547","4,181","4,366","36,881","18,489","18,392","34,210","17,736","16,474","8,276","4,078","4,198","17,890","7,916","9,974","36,636","17,434","19,202","8,527","4,374","4,153","24,484","11,587","12,897",N,N,N,"11,643","5,806","5,837","120,895","55,453","65,442","52,108","25,311","26,797","79,350","35,722","43,628","22,004","10,439","11,565","17,327","8,303","9,024","176,527","83,520","93,007","30,700","13,210","17,490","16,148","8,172","7,976","3,395","1,612","1,783","10,713","5,656","5,057","37,477","17,884","19,593","11,879","5,708","6,171","84,855","44,306","40,549","18,255","8,906","9,349","1,903","1,120",783,"19,291","9,757","9,534","56,020","27,181","28,839",N,N,N,"31,960","16,279","15,681","7,937","4,280","3,657","6,688","3,813","2,875"
    High school graduate or higher,"14,647","7,180","7,467","49,148","24,113","25,035","143,932","65,171","78,761","9,314","3,792","5,522","160,403","81,652","78,751","34,072","15,464","18,608","6,148","3,469","2,679","1,436",675,761,N,N,N,"35,321","19,357","15,964","16,841","8,250","8,591","1,652",960,692,"12,232","5,983","6,249","16,172","8,748","7,424","7,281","3,915","3,366","5,015","2,546","2,469","12,505","6,193","6,312","4,987","2,502","2,485","10,855","5,559","5,296","4,506","2,013","2,493","9,089","4,174","4,915","6,806","3,521","3,285","32,032","16,045","15,987","28,031","14,498","13,533","6,725","3,526","3,199","16,316","7,055","9,261","31,197","14,397","16,800","6,946","3,271","3,675","20,144","9,069","11,075",N,N,N,"9,640","4,272","5,368","98,306","43,988","54,318","37,888","18,327","19,561","60,974","26,697","34,277","19,017","9,047","9,970","13,671","6,359","7,312","152,374","70,841","81,533","25,054","10,549","14,505","13,253","6,783","6,470","2,422","1,152","1,270","8,163","4,173","3,990","26,141","12,133","14,008","10,196","4,796","5,400","69,087","35,377","33,710","14,107","6,949","7,158","1,453",824,629,"15,639","7,788","7,851","45,469","21,499","23,970",N,N,N,"27,566","13,989","13,577","7,006","3,831","3,175","5,518","3,110","2,408"
    Bachelor's degree or higher,"2,751","1,003","1,748","4,881","1,972","2,909","18,199","6,848","11,351","1,590",560,"1,030","28,467","13,105","15,362","7,109","2,522","4,587","1,853","1,079",774,339,156,183,N,N,N,"9,153","4,951","4,202","5,331","2,116","3,215",602,463,139,"1,245",694,551,"4,722","2,546","2,176","1,135",645,490,747,562,185,"2,831","1,163","1,668",834,234,600,"1,760",585,"1,175",862,467,395,"1,913",744,"1,169","2,416","1,143","1,273","6,530","2,722","3,808","4,530","2,309","2,221","1,685","1,030",655,"3,961","1,000","2,961","5,763","2,262","3,501",797,298,499,"2,288",835,"1,453",N,N,N,"3,686","1,734","1,952","12,136","4,909","7,227","8,686","3,996","4,690","11,421","3,887","7,534","3,865","1,285","2,580","2,642","1,230","1,412","28,648","11,316","17,332","3,327",934,"2,393","3,235","1,491","1,744",874,563,311,"1,228",703,525,"3,416","1,336","2,080","3,173","1,199","1,974","17,362","8,378","8,984","3,134","1,662","1,472",34,0,34,"4,343","1,904","2,439","8,479","3,409","5,070",N,N,N,"4,116","1,796","2,320",986,289,697,"1,213",494,719
Asian alone,"43,607","20,177","23,430","32,240","14,789","17,451","161,708","72,181","89,527","30,297","14,837","15,460","4,234,099","1,936,827","2,297,272","118,758","53,115","65,643","113,851","52,990","60,861","26,990","12,452","14,538","21,767","9,051","12,716","421,720","187,676","234,044","281,696","130,968","150,728","434,390","195,247","239,143","15,127","6,008","9,119","488,920","229,484","259,436","89,487","41,202","48,285","49,562","24,099","25,463","57,486","28,297","29,189","40,370","17,837","22,533","55,217","25,412","29,805","9,790","3,656","6,134","280,663","129,153","151,510","309,727","144,517","165,210","204,155","97,320","106,835","167,233","78,086","89,147","18,444","8,791","9,653","82,661","38,032","44,629","6,262","1,842","4,420","28,432","13,684","14,748","193,401","82,199","111,202","24,677","10,526","14,151","628,099","298,464","329,635","21,405","9,008","12,397","1,238,032","573,818","664,214","194,787","91,306","103,481","8,091","3,456","4,635","172,454","80,195","92,259","56,009","25,849","30,160","128,319","55,914","72,405","297,517","140,781","156,736","24,590","12,176","12,414","53,449","22,857","30,592","6,312","2,807","3,505","82,433","36,987","45,446","929,639","438,365","491,274","49,406","21,576","27,830","6,906","2,615","4,291","382,715","173,966","208,749","458,135","206,136","251,999","9,116","3,961","5,155","92,836","43,723","49,113","3,249","1,218","2,031",N,N,N
    High school graduate or higher,"37,934","18,030","19,904","25,657","12,030","13,627","143,663","66,365","77,298","24,036","11,715","12,321","3,705,737","1,734,421","1,971,316","99,611","45,800","53,811","101,183","47,827","53,356","25,171","11,816","13,355","20,714","8,809","11,905","365,079","167,406","197,673","244,351","116,049","128,302","389,703","176,979","212,724","13,400","5,544","7,856","444,526","213,475","231,051","74,850","35,286","39,564","38,917","19,557","19,360","49,796","24,722","25,074","34,117","15,866","18,251","43,206","21,257","21,949","8,207","3,146","5,061","254,015","119,818","134,197","265,834","127,435","138,399","182,420","88,505","93,915","135,143","64,092","71,051","14,878","7,536","7,342","74,753","34,868","39,885","5,385","1,306","4,079","22,045","11,521","10,524","176,268","75,938","100,330","21,220","9,046","12,174","578,795","280,227","298,568","19,681","8,469","11,212","969,707","460,176","509,531","167,536","80,505","87,031","7,250","3,125","4,125","152,863","72,797","80,066","45,090","21,440","23,650","112,654","50,522","62,132","248,929","121,159","127,770","21,329","10,796","10,533","46,191","20,071","26,120","5,743","2,484","3,259","72,031","33,508","38,523","822,228","395,296","426,932","44,128","19,903","24,225","4,632","1,590","3,042","349,527","163,065","186,462","403,922","186,369","217,553","7,794","3,763","4,031","79,612","38,597","41,015","3,092","1,218","1,874",N,N,N
    Bachelor's degree or higher,"20,772","10,922","9,850","8,296","2,849","5,447","91,773","45,449","46,324","14,696","7,275","7,421","2,221,299","1,042,573","1,178,726","62,248","30,408","31,840","72,960","36,496","36,464","17,990","9,161","8,829","17,822","7,736","10,086","214,346","103,386","110,960","151,895","74,116","77,779","147,465","63,802","83,663","6,966","3,145","3,821","319,042","154,118","164,924","51,144","26,170","24,974","20,994","9,826","11,168","28,896","15,168","13,728","19,598","9,612","9,986","23,529","11,470","12,059","4,419","1,744","2,675","173,748","83,886","89,862","190,385","93,636","96,749","126,734","66,491","60,243","74,173","36,250","37,923","6,478","2,725","3,753","48,937","24,004","24,933","2,683",550,"2,133","14,281","7,352","6,929","77,431","33,725","43,706","14,924","6,491","8,433","440,532","218,923","221,609","13,013","5,966","7,047","556,658","259,495","297,163","116,066","57,607","58,459","5,529","2,692","2,837","106,971","55,297","51,674","23,162","11,763","11,399","69,068","31,527","37,541","166,129","83,572","82,557","14,120","7,167","6,953","26,829","12,528","14,301","2,855","1,481","1,374","47,521","21,590","25,931","550,525","274,339","276,186","25,451","12,349","13,102","2,731","1,187","1,544","234,081","114,999","119,082","236,986","112,429","124,557","5,082","2,683","2,399","47,879","22,635","25,244","1,727",948,779,N,N,N
Native Hawaiian and Other Pacific Islander alone,N,N,N,"4,819","2,159","2,660","9,601","5,322","4,279","5,073","2,777","2,296","104,053","49,699","54,354","4,459","1,787","2,672",N,N,N,N,N,N,N,N,N,"7,919","4,428","3,491","3,711","2,358","1,353","90,769","46,763","44,006",N,N,N,"2,817","1,224","1,593",N,N,N,"2,933","1,398","1,535",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"1,781",972,809,N,N,N,N,N,N,"4,949","2,321","2,628",N,N,N,N,N,N,"13,826","7,131","6,695",N,N,N,"2,713","1,582","1,131",N,N,N,"5,361","2,467","2,894","4,071","1,938","2,133",N,N,N,"2,343",578,"1,765","4,292","2,556","1,736","9,760","4,758","5,002","2,641",991,"1,650",N,N,N,N,N,N,N,N,N,"4,385","2,292","2,093","15,443","7,976","7,467","15,297","8,435","6,862",N,N,N,"2,522","1,199","1,323","30,833","14,854","15,979",N,N,N,N,N,N,N,N,N,N,N,N
    High school graduate or higher,N,N,N,"4,121","1,680","2,441","8,275","4,485","3,790","2,570","1,130","1,440","91,095","44,026","47,069","4,270","1,680","2,590",N,N,N,N,N,N,N,N,N,"7,178","4,244","2,934","2,952","1,944","1,008","79,610","40,918","38,692",N,N,N,"2,687","1,164","1,523",N,N,N,"1,988",771,"1,217",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"1,516",853,663,N,N,N,N,N,N,"4,003","1,827","2,176",N,N,N,N,N,N,"12,678","6,742","5,936",N,N,N,"1,967","1,343",624,N,N,N,"4,209","1,966","2,243","3,853","1,811","2,042",N,N,N,"1,626",467,"1,159","3,749","2,300","1,449","8,137","4,037","4,100","1,921",505,"1,416",N,N,N,N,N,N,N,N,N,"4,006","2,019","1,987","13,740","7,219","6,521","14,332","7,621","6,711",N,N,N,"2,294","1,073","1,221","28,677","14,052","14,625",N,N,N,N,N,N,N,N,N,N,N,N
    Bachelor's degree or higher,N,N,N,584,66,518,"1,754","1,140",614,230,190,40,"21,607","10,143","11,464","1,504",435,"1,069",N,N,N,N,N,N,N,N,N,"2,114","1,151",963,489,407,82,"12,913","5,883","7,030",N,N,N,783,278,505,N,N,N,304,104,200,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,750,518,232,N,N,N,N,N,N,"1,405",316,"1,089",N,N,N,N,N,N,"1,589",842,747,N,N,N,779,479,300,N,N,N,"1,345",835,510,"1,264",661,603,N,N,N,650,203,447,251,105,146,"1,768",635,"1,133",299,121,178,N,N,N,N,N,N,N,N,N,758,652,106,"3,205","1,551","1,654","2,274",898,"1,376",N,N,N,671,188,483,"4,193","1,954","2,239",N,N,N,N,N,N,N,N,N,N,N,N
Some other race alone,"32,645","17,246","15,399","8,195","4,810","3,385","249,829","128,864","120,965","44,954","23,852","21,102","3,492,458","1,772,912","1,719,546","130,641","66,654","63,987","115,463","57,836","57,627","9,895","5,366","4,529","23,645","12,741","10,904","384,651","195,739","188,912","144,346","78,085","66,261","12,490","6,445","6,045","31,857","16,460","15,397","452,592","237,280","215,312","68,119","35,825","32,294","21,881","11,852","10,029","39,777","22,102","17,675","21,560","13,206","8,354","42,327","23,430","18,897",N,N,N,"168,529","91,504","77,025","157,226","79,694","77,532","63,465","31,109","32,356","59,619","33,162","26,457","15,135","9,776","5,359","40,876","20,992","19,884","4,042","2,261","1,781","18,396","10,234","8,162","196,953","97,532","99,421","3,334","2,155","1,179","326,262","163,103","163,159","101,618","51,993","49,625","1,106,226","525,438","580,788","152,558","78,967","73,591","4,724","2,234","2,490","60,949","33,572","27,377","59,123","33,342","25,781","64,182","32,834","31,348","139,279","72,145","67,134","28,664","13,618","15,046","44,971","25,238","19,733","3,669","2,888",781,"46,031","27,131","18,900","1,004,465","520,009","484,456","93,728","50,223","43,505",N,N,N,"123,051","64,524","58,527","182,329","101,154","81,175","4,646","2,182","2,464","69,107","36,833","32,274","6,050","3,210","2,840","361,096","172,142","188,954"
